kernel,size,mean,std
2mm,extralarge,15.089828,0.191864
2mm,large,1.535027,0.009328
2mm,medium,0.011364,0.001231
2mm,mini,0.000013,0.000006
2mm,small,0.000251,0.000105
3mm,extralarge,24.761208,0.053070
3mm,large,2.571027,0.026903
3mm,medium,0.018220,0.001592
3mm,mini,0.000022,0.000012
3mm,small,0.000590,0.000261
adi,extralarge,78.783630,0.053277
adi,large,9.791656,0.027866
adi,medium,0.076870,0.001967
adi,mini,0.000245,0.000124
adi,small,0.004391,0.001914
atax,extralarge,0.003645,0.000041
atax,large,0.004558,0.002224
atax,medium,0.000347,0.000085
atax,mini,0.000004,0.000002
atax,small,0.000020,0.000009
bicg,extralarge,0.012241,0.000062
bicg,large,0.012410,0.000224
bicg,medium,0.000659,0.000363
bicg,mini,0.000008,0.000004
bicg,small,0.000052,0.000028
cholesky,extralarge,9.024467,0.088349
cholesky,large,1.184382,0.008990
cholesky,medium,0.007522,0.000134
cholesky,mini,0.000017,0.000007
cholesky,small,0.000336,0.000139
correlation,extralarge,13.628071,0.036092
correlation,large,1.339639,0.012748
correlation,medium,0.007299,0.001372
correlation,mini,0.000019,0.000010
correlation,small,0.000507,0.000238
covariance,extralarge,13.634779,0.031212
covariance,large,1.349844,0.013201
covariance,medium,0.007897,0.001723
covariance,mini,0.000020,0.000008
covariance,small,0.000492,0.000223
deriche,extralarge,0.590381,0.073485
deriche,large,0.131884,0.001856
deriche,medium,0.006527,0.001604
deriche,mini,0.000097,0.000045
deriche,small,0.000688,0.000311
doitgen,extralarge,2.890485,0.013453
doitgen,large,0.415465,0.006372
doitgen,medium,0.006392,0.002869
doitgen,mini,0.000007,0.000002
doitgen,small,0.000489,0.000246
durbin,extralarge,0.010230,0.002158
durbin,large,0.003173,0.001648
durbin,medium,0.000121,0.000064
durbin,mini,0.000007,0.000001
durbin,small,0.000014,0.000008
fdtd-2d,extralarge,14.366471,0.094821
fdtd-2d,large,1.674821,0.027050
fdtd-2d,medium,0.004317,0.001809
fdtd-2d,mini,0.000007,0.000000
fdtd-2d,small,0.000244,0.000096
floyd-warshall,extralarge,100.064539,0.215098
floyd-warshall,large,13.079060,0.038962
floyd-warshall,medium,0.057326,0.001767
floyd-warshall,mini,0.000208,0.000086
floyd-warshall,small,0.003575,0.001657
gemm,extralarge,4.218958,0.035172
gemm,large,0.462394,0.006173
gemm,medium,0.001296,0.000544
gemm,mini,0.000006,0.000002
gemm,small,0.000041,0.000001
gemver,extralarge,0.044719,0.000745
gemver,large,0.010431,0.000108
gemver,medium,0.000473,0.000224
gemver,mini,0.000005,0.000002
gemver,small,0.000030,0.000014
gesummv,extralarge,0.040962,0.000054
gesummv,large,0.008865,0.000020
gesummv,medium,0.000431,0.000208
gesummv,mini,0.000014,0.000008
gesummv,small,0.000087,0.000048
gramschmidt,extralarge,17.468346,0.025292
gramschmidt,large,1.806340,0.015668
gramschmidt,medium,0.009579,0.001455
gramschmidt,mini,0.000022,0.000008
gramschmidt,small,0.000342,0.000192
heat-3d,extralarge,14.876219,0.081631
heat-3d,large,1.613140,0.017261
heat-3d,medium,0.005517,0.001835
heat-3d,mini,0.000012,0.000004
heat-3d,small,0.000315,0.000170
jacobi-1d,extralarge,0.001964,0.000975
jacobi-1d,large,0.000493,0.000238
jacobi-1d,medium,0.000020,0.000009
jacobi-1d,mini,0.000002,0.000001
jacobi-1d,small,0.000004,0.000002
jacobi-2d,extralarge,13.336303,0.125796
jacobi-2d,large,1.453470,0.020742
jacobi-2d,medium,0.005839,0.002671
jacobi-2d,mini,0.000012,0.000005
jacobi-2d,small,0.000288,0.000141
lu,extralarge,26.174956,0.090189
lu,large,2.678420,0.013158
lu,medium,0.014760,0.000088
lu,mini,0.000029,0.000013
lu,small,0.000613,0.000296
ludcmp,extralarge,25.285595,0.046789
ludcmp,large,2.612263,0.019875
ludcmp,medium,0.013013,0.000080
ludcmp,mini,0.000033,0.000008
ludcmp,small,0.000581,0.000260
mvt,extralarge,0.033584,0.000316
mvt,large,0.008461,0.002305
mvt,medium,0.000462,0.000201
mvt,mini,0.000005,0.000002
mvt,small,0.000034,0.000015
nussinov,extralarge,30.280902,0.087087
nussinov,large,2.537768,0.010634
nussinov,medium,0.009996,0.001710
nussinov,mini,0.000024,0.000008
nussinov,small,0.000834,0.000389
seidel-2d,extralarge,119.161590,0.024675
seidel-2d,large,14.865143,0.006953
seidel-2d,medium,0.119364,0.002164
seidel-2d,mini,0.000320,0.000166
seidel-2d,small,0.006715,0.002215
symm,extralarge,17.485701,0.048945
symm,large,1.911258,0.009205
symm,medium,0.007530,0.002838
symm,mini,0.000011,0.000004
symm,small,0.000206,0.000103
syr2k,extralarge,12.523259,0.061240
syr2k,large,1.236035,0.019200
syr2k,medium,0.004224,0.001672
syr2k,mini,0.000011,0.000004
syr2k,small,0.000171,0.000091
syrk,extralarge,6.020454,0.038840
syrk,large,0.449551,0.005799
syrk,medium,0.002763,0.000924
syrk,mini,0.000008,0.000003
syrk,small,0.000056,0.000028
trisolv,extralarge,0.006693,0.000030
trisolv,large,0.002189,0.000932
trisolv,medium,0.000182,0.000028
trisolv,mini,0.000003,0.000001
trisolv,small,0.000014,0.000005
trmm,extralarge,6.985063,0.037918
trmm,large,0.726380,0.009454
trmm,medium,0.003671,0.001134
trmm,mini,0.000008,0.000003
trmm,small,0.000136,0.000051
